purchase_id,product_id,name,qty,date_created
"4996478d-d93d-4c53-bc6f-55dcc9c141b1","883ecf58-3504-4eca-bc8d-6f30aea70bbc","Kaffe","1","2016-09-01 06:25:30.236768+00"
"ae331889-aa15-434d-92ec-9b31910fc9c9","883ecf58-3504-4eca-bc8d-6f30aea70bbc","Kaffe","1","2016-09-01 06:52:53.590181+00"
"b0558914-58ff-456b-993d-0091d5f22b0d","883ecf58-3504-4eca-bc8d-6f30aea70bbc","Kaffe","1","2016-09-01 07:50:50.680759+00"
"0a19501e-6a88-4e6e-8931-d02c018c7a97","707fe855-8928-4893-adca-e3f71d9d174e","Pepperoni Chips","1","2016-09-01 09:08:07.287343+00"
"93fae7e9-7d3b-41f4-bd17-3965862c016a","d543b721-a5b3-4dae-955c-9d6db18c5751","Penne Rosse Piccanti","1","2016-09-01 10:12:23.232243+00"
"18ce68d4-65b7-4827-936b-c564aad9a02c","dc310bca-27de-49ed-8ce4-4b5c68dbb725","Bestick","1","2016-09-01 10:12:48.762297+00"
"b9d8691d-c2d0-4ed7-a7ca-2f5b98b22a6e","f69e94dd-7711-4637-b656-8b79342e6194","Billys Pepperoni","1","2016-09-01 10:13:17.249187+00"
"b9d8691d-c2d0-4ed7-a7ca-2f5b98b22a6e","5e9e1d0f-1f3c-4eec-a2cb-632bcbe96ba0","Zingo Apelsin","1","2016-09-01 10:13:17.249187+00"
"b9d8691d-c2d0-4ed7-a7ca-2f5b98b22a6e","8e8d50b3-237b-4b38-9222-677c81f13f8f","7up","1","2016-09-01 10:13:17.249187+00"
"13cc1992-3ce9-47d9-bfbe-c03cff57f5ce","c7cc513c-4ed6-42d5-9a3a-8129ce7c94eb","Pepsi","1","2016-09-01 10:13:31.403505+00"
"13cc1992-3ce9-47d9-bfbe-c03cff57f5ce","883ecf58-3504-4eca-bc8d-6f30aea70bbc","Kaffe","1","2016-09-01 10:13:31.403505+00"
"a3377885-b628-4cd6-a9f2-2ec448536f76","80ec2f45-5d7e-4829-ba90-e9ba5996b86b","Zingo Tropical","1","2016-09-01 10:13:58.363404+00"
"ce07f706-dc4a-4d4b-9817-b04d3dd2fcd7","f1ef1728-4463-4531-a2cd-fe292fdea875","Billys Original","2","2016-09-01 10:15:43.701644+00"
